racer_number,racer_name,races,wins,win_rate
4233,亀山 雅幸,356,72,0.2022
4980,佐々木 完太,356,105,0.2949
4903,吉田 凌太朗,355,114,0.3211
4796,春園 功太,355,99,0.2789
4193,郷原 章平,355,92,0.2592
4308,河村 了,355,94,0.2648
5126,山下 大輝,355,106,0.2986
4436,渋谷 明憲,355,83,0.2338
3783,瓜生 正義,354,79,0.2232
4216,星 栄爾,354,54,0.1525
4596,葛原 大陽,354,71,0.2006
4256,渡辺 浩司,354,90,0.2542
4873,蒲原 健太,354,63,0.178
4134,杉山 貴博,353,65,0.1841
4042,丸岡 正典,353,80,0.2266
5221,竹間 隆晟,353,101,0.2861
4967,中村 魁生,353,87,0.2465
3911,鈴木 猛,353,51,0.1445
4645,上村 純一,352,91,0.2585
4387,平山 智加,352,100,0.2841
5029,中 亮太,352,97,0.2756
3822,平尾 崇典,352,98,0.2784
4570,前田 聖文,352,82,0.233
3740,大澤 普司,351,91,0.2593
4516,野口 勝弘,351,84,0.2393
4502,遠藤 エミ,351,108,0.3077
5229,吉川 晴人,351,69,0.1966
5222,津田 陸翔,351,79,0.2251
4949,横田 貴満,351,81,0.2308
4500,山田 康二,351,126,0.359
4793,金子 萌,351,91,0.2593
4133,高橋 正男,351,75,0.2137
5234,塚越 海斗,351,93,0.265
5068,前田 滉,350,133,0.38
4293,鈴木 智啓,350,53,0.1514
4024,井口 佳典,350,78,0.2229
5256,中山 翔太,350,100,0.2857
3582,吉川 昭男,350,93,0.2657
4551,三川 昂暁,350,60,0.1714
5017,澤田 尚也,350,107,0.3057
4409,坂元 浩仁,349,97,0.2779
5015,高橋 竜矢,349,104,0.298
4311,岡村 仁,349,100,0.2865
4908,上田 龍星,349,114,0.3266
4105,松下 直也,349,41,0.1175
4348,宮崎 奨,349,53,0.1519
4298,宮下 元胤,349,61,0.1748
4228,吉田 慎二郎,349,71,0.2034
3334,角 ひとみ,348,56,0.1609
5160,藤森 陸斗,348,68,0.1954
4910,中村 泰平,348,110,0.3161
4547,中田 竜太,347,78,0.2248
5042,畑田 汰一,347,101,0.2911
3663,木山 和幸,347,51,0.147
4292,麻生 慎介,347,89,0.2565
4073,大橋 純一郎,347,79,0.2277
4210,松村 康太,347,52,0.1499
4930,佐藤 悠,347,69,0.1988
4370,山口 達也,347,120,0.3458
4418,茅原 悠紀,347,112,0.3228
5224,西岡 顕心,347,92,0.2651
4428,有賀 達也,346,81,0.2341
4579,中嶋 健一郎,346,80,0.2312
