fetched_at,race_date,stadium_number,race_number,race_closed_at,bet_type,combination,odds
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=2=6,72.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=3=4,3.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=3=4,11.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=3=5,15.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=3=5,38.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=3=6,46.7
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=3=6,130.9
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=4=5,11.2
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=4=5,59.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,3=4=5,28.4
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=4=6,31.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=4=6,327.3
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,3=4=6,81.8
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,1=5=6,109.1
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,2=5=6,163.6
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,3=5=6,38.5
2026-09-22T10:28:10+0900,2026-09-22,17,1,2026-09-22 10:41:00,3連複,4=5=6,163.6
