racer_id,is_night,races,wins,win_rate,low_sample
3661,0,268,33,0.1231,0
3661,1,72,10,0.1389,0
3662,0,275,54,0.1964,0
3662,1,60,6,0.1,0
3663,0,299,41,0.1371,0
3663,1,51,10,0.1961,0
3664,0,235,35,0.1489,0
3664,1,47,6,0.1277,0
3679,0,275,56,0.2036,0
3679,1,91,20,0.2198,0
3680,0,223,14,0.0628,0
3680,1,79,8,0.1013,0
3681,0,195,33,0.1692,0
3681,1,44,4,0.0909,0
3684,0,256,43,0.168,0
3684,1,49,8,0.1633,0
3685,0,251,33,0.1315,0
3685,1,45,8,0.1778,0
3686,0,270,49,0.1815,0
3686,1,72,15,0.2083,0
3687,0,226,31,0.1372,0
3687,1,43,2,0.0465,0
3690,0,251,24,0.0956,0
3690,1,57,4,0.0702,0
3692,0,249,35,0.1406,0
3692,1,46,5,0.1087,0
3696,0,248,26,0.1048,0
3696,1,49,1,0.0204,0
3699,0,204,20,0.098,0
3699,1,49,4,0.0816,0
3701,0,209,15,0.0718,0
3701,1,59,2,0.0339,0
3702,0,3,0,0.0,1
3702,1,5,0,0.0,1
3703,0,199,42,0.2111,0
3703,1,107,20,0.1869,0
3704,0,185,10,0.0541,0
3704,1,23,0,0.0,0
3708,0,269,34,0.1264,0
3708,1,33,1,0.0303,0
3710,0,215,24,0.1116,0
3710,1,82,1,0.0122,0
3711,0,301,52,0.1728,0
3711,1,97,23,0.2371,0
3712,0,240,34,0.1417,0
3712,1,47,2,0.0426,0
3713,0,237,51,0.2152,0
3713,1,77,15,0.1948,0
3714,0,238,24,0.1008,0
3714,1,49,6,0.1224,0
3715,0,173,20,0.1156,0
3715,1,80,10,0.125,0
3716,0,288,67,0.2326,0
3716,1,50,4,0.08,0
3717,0,194,33,0.1701,0
3717,1,64,8,0.125,0
3718,0,269,37,0.1375,0
3718,1,27,0,0.0,0
3719,0,247,47,0.1903,0
3719,1,101,25,0.2475,0
3721,0,276,84,0.3043,0
3721,1,67,22,0.3284,0
3722,0,192,9,0.0469,0
3722,1,73,2,0.0274,0
3726,0,138,13,0.0942,0
3726,1,43,3,0.0698,0
3730,0,258,30,0.1163,0
3730,1,55,2,0.0364,0
3731,0,208,19,0.0913,0
3731,1,94,13,0.1383,0
3736,0,61,8,0.1311,0
3736,1,19,1,0.0526,0
3737,0,224,57,0.2545,0
3737,1,80,25,0.3125,0
3740,0,227,58,0.2555,0
3740,1,128,33,0.2578,0
3741,0,193,11,0.057,0
3741,1,68,3,0.0441,0
3742,0,184,22,0.1196,0
3742,1,64,1,0.0156,0
3743,0,289,72,0.2491,0
3743,1,58,14,0.2414,0
3744,0,286,86,0.3007,0
3744,1,112,36,0.3214,0
3745,0,256,32,0.125,0
3745,1,2,0,0.0,1
3746,0,300,54,0.18,0
3746,1,90,14,0.1556,0
3747,0,230,33,0.1435,0
3747,1,52,8,0.1538,0
3748,0,226,13,0.0575,0
3748,1,54,3,0.0556,0
3752,0,222,14,0.0631,0
3752,1,55,5,0.0909,0
3757,0,220,27,0.1227,0
3757,1,59,11,0.1864,0
3761,0,223,41,0.1839,0
3761,1,34,1,0.0294,0
3769,0,177,26,0.1469,0
3769,1,97,9,0.0928,0
3771,0,237,38,0.1603,0
3771,1,70,10,0.1429,0
3772,0,240,27,0.1125,0
3772,1,44,5,0.1136,0
3773,0,203,20,0.0985,0
3773,1,71,7,0.0986,0
3775,0,287,19,0.0662,0
3775,1,33,1,0.0303,0
3776,0,228,6,0.0263,0
3776,1,55,1,0.0182,0
3777,0,206,42,0.2039,0
3777,1,134,26,0.194,0
3778,0,174,7,0.0402,0
3778,1,30,0,0.0,0
3779,0,230,68,0.2957,0
3779,1,111,30,0.2703,0
3783,0,253,51,0.2016,0
3783,1,106,28,0.2642,0
3784,0,232,32,0.1379,0
3784,1,56,6,0.1071,0
3787,0,163,10,0.0613,0
3787,1,70,1,0.0143,0
3788,0,186,42,0.2258,0
3788,1,29,3,0.1034,0
3790,0,209,19,0.0909,0
