stadium_number,entry_course_actual,wind_band,races,wins,win_rate,nige_wins,nige_rate,low_sample
20,3,2-3,1233,153,0.1241,0,0.0,0
20,3,4-5,922,115,0.1247,0,0.0,0
20,3,6+,289,45,0.1557,0,0.0,0
20,4,0-1,841,72,0.0856,0,0.0,0
20,4,2-3,1233,122,0.0989,0,0.0,0
20,4,4-5,922,112,0.1215,0,0.0,0
20,4,6+,289,36,0.1246,0,0.0,0
20,5,0-1,841,43,0.0511,0,0.0,0
20,5,2-3,1233,73,0.0592,0,0.0,0
20,5,4-5,922,53,0.0575,0,0.0,0
20,5,6+,289,18,0.0623,0,0.0,0
20,6,0-1,832,17,0.0204,0,0.0,0
20,6,2-3,1221,29,0.0238,0,0.0,0
20,6,4-5,914,19,0.0208,0,0.0,0
20,6,6+,285,9,0.0316,0,0.0,0
21,1,0-1,828,525,0.6341,497,0.6002,0
21,1,2-3,1276,751,0.5886,717,0.5619,0
21,1,4-5,969,543,0.5604,515,0.5315,0
21,1,6+,175,99,0.5657,91,0.52,0
21,2,0-1,828,68,0.0821,0,0.0,0
21,2,2-3,1276,141,0.1105,0,0.0,0
21,2,4-5,969,106,0.1094,0,0.0,0
21,2,6+,175,19,0.1086,0,0.0,0
21,3,0-1,828,68,0.0821,0,0.0,0
21,3,2-3,1276,137,0.1074,0,0.0,0
21,3,4-5,969,129,0.1331,0,0.0,0
21,3,6+,175,26,0.1486,0,0.0,0
21,4,0-1,828,84,0.1014,0,0.0,0
21,4,2-3,1276,145,0.1136,0,0.0,0
21,4,4-5,969,88,0.0908,0,0.0,0
21,4,6+,175,22,0.1257,0,0.0,0
21,5,0-1,828,66,0.0797,0,0.0,0
21,5,2-3,1276,79,0.0619,0,0.0,0
21,5,4-5,969,77,0.0795,0,0.0,0
21,5,6+,175,6,0.0343,0,0.0,0
21,6,0-1,821,17,0.0207,0,0.0,0
21,6,2-3,1260,23,0.0183,0,0.0,0
21,6,4-5,959,26,0.0271,0,0.0,0
21,6,6+,172,3,0.0174,0,0.0,0
22,1,0-1,300,190,0.6333,174,0.58,0
22,1,2-3,2098,1217,0.5801,1158,0.552,0
22,1,4-5,707,387,0.5474,360,0.5092,0
22,1,6+,80,41,0.5125,38,0.475,0
22,2,0-1,300,37,0.1233,0,0.0,0
22,2,2-3,2098,303,0.1444,0,0.0,0
22,2,4-5,707,112,0.1584,0,0.0,0
22,2,6+,80,19,0.2375,0,0.0,0
22,3,0-1,300,37,0.1233,0,0.0,0
22,3,2-3,2098,321,0.153,0,0.0,0
22,3,4-5,707,106,0.1499,0,0.0,0
22,3,6+,80,10,0.125,0,0.0,0
22,4,0-1,300,24,0.08,0,0.0,0
22,4,2-3,2098,155,0.0739,0,0.0,0
22,4,4-5,707,65,0.0919,0,0.0,0
22,4,6+,80,8,0.1,0,0.0,0
22,5,0-1,300,11,0.0367,0,0.0,0
22,5,2-3,2097,80,0.0381,0,0.0,0
22,5,4-5,707,25,0.0354,0,0.0,0
22,5,6+,80,2,0.025,0,0.0,0
22,6,0-1,295,1,0.0034,0,0.0,0
22,6,2-3,2082,21,0.0101,0,0.0,0
22,6,4-5,704,12,0.017,0,0.0,0
22,6,6+,78,0,0.0,0,0.0,0
23,1,0-1,347,233,0.6715,226,0.6513,0
23,1,2-3,1223,702,0.574,670,0.5478,0
23,1,4-5,1069,569,0.5323,547,0.5117,0
23,1,6+,418,198,0.4737,178,0.4258,0
23,2,0-1,347,37,0.1066,0,0.0,0
23,2,2-3,1223,176,0.1439,0,0.0,0
23,2,4-5,1069,156,0.1459,0,0.0,0
23,2,6+,418,67,0.1603,0,0.0,0
23,3,0-1,347,38,0.1095,0,0.0,0
23,3,2-3,1223,156,0.1276,0,0.0,0
23,3,4-5,1069,131,0.1225,0,0.0,0
23,3,6+,418,56,0.134,0,0.0,0
23,4,0-1,347,19,0.0548,0,0.0,0
23,4,2-3,1223,97,0.0793,0,0.0,0
23,4,4-5,1069,124,0.116,0,0.0,0
23,4,6+,418,57,0.1364,0,0.0,0
23,5,0-1,347,19,0.0548,0,0.0,0
23,5,2-3,1222,68,0.0556,0,0.0,0
