racer_id,racer_name,races,avg_start_timing,start_timing_variance,low_sample
4093,吉田 宗弘,275,0.1835,0.005565,0
4094,中島 真二,281,0.1774,0.003357,0
4095,福来 剛,334,0.1344,0.003793,0
4096,石橋 道友,313,0.148,0.00367,0
4097,貫地谷 直人,251,0.2067,0.00588,0
4098,赤澤 文香,238,0.1973,0.004547,0
4099,吉永 則雄,327,0.163,0.002858,0
4100,松田 隆司,309,0.1638,0.004626,0
4102,益田 啓司,384,0.1482,0.003347,0
4103,山崎 善庸,269,0.2219,0.005228,0
4104,木下 陽介,262,0.1417,0.003764,0
4105,松下 直也,357,0.1775,0.004469,0
4106,坂井 康嗣,244,0.1854,0.004899,0
4108,吉村 正明,305,0.1397,0.003113,0
4109,谷津 幸宏,362,0.1262,0.003144,0
4110,小澤 和也,274,0.168,0.003937,0
4111,奥田 誠,316,0.1635,0.004608,0
4112,大久保 信一郎,284,0.1731,0.004757,0
4113,木村 浩士,298,0.1797,0.003491,0
4114,深澤 達徳,256,0.1924,0.006087,0
4116,川田 正人,305,0.1758,0.005114,0
4117,廣中 智紗衣,303,0.2015,0.005528,0
4118,宇佐見 淳,400,0.147,0.003178,0
4119,泥谷 一毅,302,0.1715,0.004171,0
4120,柘植 政浩,382,0.1665,0.003194,0
4121,富永 修一,337,0.1356,0.003429,0
4122,安東 幸治,387,0.1658,0.004284,0
4123,細川 裕子,370,0.1847,0.005294,0
4124,池田 雄一,333,0.1623,0.004721,0
4128,川口 貴久,242,0.1567,0.004566,0
4129,宇野 博之,245,0.1803,0.006146,0
4131,原 豊土,290,0.165,0.004813,0
4133,高橋 正男,358,0.156,0.004344,0
4134,杉山 貴博,355,0.1615,0.003955,0
4136,江夏 満,304,0.1611,0.003653,0
4137,君島 秀三,389,0.132,0.002826,0
4138,中井 俊祐,265,0.1619,0.004335,0
4139,丹下 健,277,0.1732,0.004987,0
4140,梶野 学志,275,0.1574,0.003118,0
4142,平野 和明,326,0.1714,0.003813,0
4143,浦田 晃嗣,265,0.1571,0.003579,0
4144,石塚 久也,311,0.1775,0.004112,0
4145,小澤 学,287,0.2487,0.004413,0
4146,柳橋 宏紀,328,0.1527,0.004294,0
4148,枝尾 賢,345,0.1486,0.004429,0
4150,山田 雄太,304,0.1412,0.002692,0
4151,下河 誉史,329,0.1883,0.00403,0
4152,深水 慎一郎,289,0.1686,0.0033,0
4154,森安 弘雅,323,0.1787,0.004625,0
4155,長野 壮志郎,333,0.1581,0.003402,0
4156,浜野 孝志,334,0.1533,0.004895,0
4158,木場 雄二郎,293,0.1657,0.002666,0
4159,向後 龍一,379,0.1556,0.003444,0
4161,黒柳 浩孝,322,0.1592,0.0039,0
4162,竹本 太樹,139,0.1765,0.005633,0
4163,山崎 裕司,391,0.1648,0.003825,0
4164,岩永 節也,254,0.185,0.005121,0
4166,吉田 拡郎,378,0.1225,0.002697,0
4167,片岡 秀樹,272,0.1512,0.004754,0
4168,石野 貴之,339,0.142,0.004192,0
4169,多田 有佑,254,0.2037,0.006104,0
4171,榎 幸司,382,0.1795,0.004037,0
4172,森定 晃史,374,0.1557,0.004076,0
4173,岡谷 健吾,319,0.1722,0.003277,0
4174,赤坂 俊輔,367,0.1564,0.003653,0
4175,川尻 泰輔,270,0.1443,0.003952,0
4176,樋口 喜彦,208,0.1596,0.006783,0
4177,萬 正嗣,232,0.1663,0.004517,0
4179,広次 修,333,0.1583,0.003387,0
4180,上野 秀和,330,0.1621,0.003394,0
4181,花本 夏樹,280,0.1933,0.005534,0
4182,吉田 和仁,313,0.1803,0.005638,0
4183,宇野 弥生,291,0.1356,0.003865,0
4184,渡邊 雄一郎,299,0.161,0.00464,0
4186,小川 時光,252,0.1632,0.005007,0
4188,久田 敏之,343,0.1218,0.004742,0
4189,川上 剛,403,0.1653,0.004711,0
4190,長嶋 万記,229,0.1593,0.003787,0
4191,赤羽 克也,329,0.161,0.003739,0
4193,郷原 章平,362,0.1517,0.004218,0
4195,前川 守嗣,278,0.1548,0.004432,0
4196,田中 太一郎,310,0.1734,0.005906,0
4197,渥美 卓郎,288,0.1852,0.004399,0
4199,北川 潤二,419,0.1484,0.003468,0
4200,早川 尚人,308,0.1756,0.006703,0
